Time,Task
1.221762594,0
1.343262240,1
1.344944480,0
1.345644960,1
1.347327200,0
1.347433760,1
1.349116000,0
1.349222560,1
1.350904960,0
1.351011520,1
1.352694080,0
1.358012160,1
1.359694560,0
1.364464480,1
1.366146720,0
1.371034240,1
1.372716640,0
1.377678080,1
1.379360480,0
1.384702080,1
1.386384480,0
1.393808160,1
1.395490560,0
1.402993760,1
1.404676000,0
1.412228800,1
1.413911200,0
1.421480800,1
1.423163040,0
1.430763840,1
1.432446240,0
1.440077120,1
1.441759520,0
1.449407200,1
1.451089440,0
1.458713600,1
1.460395840,0
1.468060640,1
1.469743040,0
1.477377120,1
1.479059520,0
1.486684000,1
1.488366400,0
1.495979200,1
1.497661600,0
1.499857760,0
